"Sr_No","Contract_ID","Prospect_Code","Partner_Name","Customer_Name","Customer_Interest_Rate_As_Per_All_Index_Sheet","Partner_Interest_Rate","Lendingkart_Interest_Rate","Loan_Disbursment","Lendingkart_Total_Interest_Receivable","Partner_Total_Interest_Receivable","Loan_Tenure","Disbursement_Date","EMI_Amount","EMI_Date","Pre_EMI_Date","No_of_Days","Total_Pre_EMI_Int","Lendingkart_Share","Partner_Share","Opening_Bal_of_Principal_O_S","Opening_Balance_of_Lendingkart_Interest_O_S","Opening_Balance_Of_Partner_Interest_O_S","Principal_Receivable_As_per_Repayment_Schedule","Lendingkart_Int_Receivale_As_Per_Repayment_Schedule","Partner_Int_Receivale_As_Per_Repayment_Schedule","Total_Interest_Receivable","EMI_Receivable_As_Per_Repayment_Schedule","Bounce_Charges_Receivable","Penal_Charges_Receivable","Principal_Received","Lendingkart_Share_One","Partner_share_One","Total_Interest_Received","Bounce_Charges_Received","Penal_Charges_Received","EMI_Amount_Received","Advance_Received","Total_Received","Received_Date","Closing_Balance_of_Principal_O_S","Closing_Balance_Of_Lendingkart_Int_O_S","Closing_Balance_Of_Partner_Int_O_S","Total_O_s","EMI_No","DPD"
"1","LNH.O00121-220279541","SL5045258","IIFL","ICON ENTERPRISE","21.00%","13.50%","7.50%","25,96,000","9,24,945","5,94,608","36","14-Aug-23","97,804","03-Oct-23","03-09-2023","20","29,872","10,669","19,203","","","","52,374","16,225","29,205","45,430","","","","52,374","16,225","29,205",""," -   "," -   ",""," -   ","","03-10-2023","","","","","",""
"2","LNH.O00121-220279541","SL5045258","IIFL","ICON ENTERPRISE","21.00%","13.50%","7.50%","25,96,000","9,24,945","5,94,608","36","14-Aug-23","97,804","03-Nov-23","","","","","","","","","53,291","15,898","28,616","44,513","","","","53,291","15,898","28,616",""," -   "," -   ",""," -   ","","03-11-2023","","","","","",""
"3","LNH.O00121-220279541","SL5045258","IIFL","ICON ENTERPRISE","21.00%","13.50%","7.50%","25,96,000","9,24,945","5,94,608","36","14-Aug-23","97,804","03-Dec-23","","","","","","","","","54,223","15,565","28,016","43,581","","","","54,223","15,565","28,016",""," -   "," -   ",""," -   ","","03-12-2023","","","","","",""
"4","LNH.O00121-220279541","SL5045258","IIFL","ICON ENTERPRISE","21.00%","13.50%","7.50%","25,96,000","9,24,945","5,94,608","36","14-Aug-23","97,804","03-Jan-24","","","","","","","","","55,172","15,226","27,406","42,632","","","","55,172","15,226","27,406",""," -   "," -   ",""," -   ","","03-01-2024","","","","","",""
"5","LNH.O00121-220279541","SL5045258","IIFL","ICON ENTERPRISE","21.00%","13.50%","7.50%","25,96,000","9,24,945","5,94,608","36","14-Aug-23","97,804","03-Feb-24","","","","","","","","","56,138","14,881","26,786","41,666","","","","56,138","14,881","26,786",""," -   "," -   ",""," -   ","","03-02-2024","","","","","",""
"6","LNH.O00121-220279541","SL5045258","IIFL","ICON ENTERPRISE","21.00%","13.50%","7.50%","25,96,000","9,24,945","5,94,608","36","14-Aug-23","97,804","03-Mar-24","","","","","","","","","57,120","14,530","26,154","40,684","","","","57,120","14,530","26,154",""," -   "," -   ",""," -   ","","03-03-2024","","","","","",""
"7","LNH.O00121-220279541","SL5045258","IIFL","ICON ENTERPRISE","21.00%","13.50%","7.50%","25,96,000","9,24,945","5,94,608","36","14-Aug-23","97,804","03-Apr-24","","","","","","","","","58,120","14,173","25,511","39,684","","",""," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   ","","","","","","",""
"8","LNH.O00121-220279541","SL5045258","IIFL","ICON ENTERPRISE","21.00%","13.50%","7.50%","25,96,000","9,24,945","5,94,608","36","14-Aug-23","97,804","03-May-24","","","","","","","","","59,137","13,810","24,858","38,667","","",""," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   ","","","","","","",""
"9","LNH.O00121-220279541","SL5045258","IIFL","ICON ENTERPRISE","21.00%","13.50%","7.50%","25,96,000","9,24,945","5,94,608","36","14-Aug-23","97,804","03-Jun-24","","","","","","","","","60,172","13,440","24,192","37,632","","",""," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   ","","","","","","",""
"10","LNH.O00121-220279541","SL5045258","IIFL","ICON ENTERPRISE","21.00%","13.50%","7.50%","25,96,000","9,24,945","5,94,608","36","14-Aug-23","97,804","03-Jul-24","","","","","","","","","61,225","13,064","23,515","36,579","","",""," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   ","","","","","","",""
"11","LNH.O00121-220279541","SL5045258","IIFL","ICON ENTERPRISE","21.00%","13.50%","7.50%","25,96,000","9,24,945","5,94,608","36","14-Aug-23","97,804","03-Aug-24","","","","","","","","","62,296","12,681","22,827","35,508","","",""," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   "," -   ","","","","","","",""
